County,Total civilian noninstitutionalized population
    With a disability,
        Estimate,"2,254"
    Percent with a disability,
        Estimate,17.20%
"Montgomery County, Ohio",
    Total,
        Estimate,"527,084"
    With a disability,
        Estimate,"80,257"
    Percent with a disability,
        Estimate,15.20%
"Morgan County, Ohio",
    Total,
        Estimate,"13,495"
    With a disability,
        Estimate,"2,481"
    Percent with a disability,
        Estimate,18.40%
"Morrow County, Ohio",
    Total,
        Estimate,"35,051"
    With a disability,
        Estimate,"5,418"
    Percent with a disability,
        Estimate,15.50%
"Muskingum County, Ohio",
    Total,
        Estimate,"85,636"
    With a disability,
        Estimate,"13,656"
    Percent with a disability,
        Estimate,15.90%
"Noble County, Ohio",
    Total,
        Estimate,"11,859"
    With a disability,
        Estimate,"2,487"
    Percent with a disability,
        Estimate,21.00%
"Ottawa County, Ohio",
    Total,
        Estimate,"39,552"
    With a disability,
        Estimate,"6,165"
    Percent with a disability,
        Estimate,15.60%
"Paulding County, Ohio",
    Total,
        Estimate,"18,707"
    With a disability,
        Estimate,"2,975"
    Percent with a disability,
        Estimate,15.90%
"Perry County, Ohio",
    Total,
        Estimate,"35,301"
    With a disability,
        Estimate,"5,746"
    Percent with a disability,
        Estimate,16.30%
"Pickaway County, Ohio",
    Total,
        Estimate,"56,319"
    With a disability,
        Estimate,"8,070"
    Percent with a disability,
        Estimate,14.30%
"Pike County, Ohio",
    Total,
        Estimate,"26,833"
    With a disability,
        Estimate,"5,939"
    Percent with a disability,
        Estimate,22.10%
"Portage County, Ohio",
    Total,
        Estimate,"160,832"
    With a disability,
        Estimate,"21,695"
    Percent with a disability,
        Estimate,13.50%
"Preble County, Ohio",
    Total,
        Estimate,"40,510"
    With a disability,
        Estimate,"6,388"
    Percent with a disability,
        Estimate,15.80%
"Putnam County, Ohio",
    Total,
        Estimate,"34,038"
    With a disability,
        Estimate,"3,569"
    Percent with a disability,
        Estimate,10.50%
"Richland County, Ohio",
    Total,
        Estimate,"118,652"
    With a disability,
        Estimate,"19,609"
    Percent with a disability,
        Estimate,16.50%
"Ross County, Ohio",
    Total,
        Estimate,"71,403"
    With a disability,
        Estimate,"13,522"
    Percent with a disability,
        Estimate,18.90%
"Sandusky County, Ohio",
    Total,
        Estimate,"57,933"
    With a disability,
        Estimate,"9,721"
    Percent with a disability,
        Estimate,16.80%
"Scioto County, Ohio",
    Total,
        Estimate,"69,968"
    With a disability,
        Estimate,"15,491"
    Percent with a disability,
        Estimate,22.10%
"Seneca County, Ohio",
    Total,
        Estimate,"54,016"
    With a disability,
        Estimate,"8,194"
    Percent with a disability,
        Estimate,15.20%
"Shelby County, Ohio",
    Total,
        Estimate,"47,580"
    With a disability,
